username,num_posts,date_posted,date_experienced,rating,review_title,review_text
IRHS,186,Yesterday,February 2020,40,Interesting way to view all of Asia,"I spent a nice Sunday morning here. I enjoyed the artifacts - bowls, boxes and figurines. It's not all pictures and I enjoyed the way they presented them - not just by country but by what affected the entire region."
Sara Ng,10,2 Mar,March 2020,50,Place is very interesting with exhibitions,"Interesting place with many exhibitions, great for taking photos.  <br/>Many people come here to take wedding photos etc."
Travelswithboxers,67,Feb 2020,February 2020,40,Always worth a visit,"We've been to singapore many times and always drop in. Lovely museum, the exhibit of the beautifully preserved finds from a shipwreck was the highlight of this trip. We would recommend to friend's"
AyushBasu,194,Feb 2020,February 2020,50,(Min) 2 hours are recommended for this place!,"The Asian Civilisations Museum is meant to showcase the rich art and culture of not only Singapore, but also the SE Asian region. The building itself is lovely and has a strong presence, even though tranquil. The Khoo Teck Puat Gallery is an exhibit for the cargo recovered from the Tang Shipwreck, a sunken 9th century trading ship and gives an excellent overview of porcelain and other ceramics. Upstairs galleries house religious statues and idols of worship. This place is easily accessible from Raffles Place and City Hall MRT Stations. The permanent galleries are free for citizens and permanent residents. I would recommend a minimum of two hours here! A cafe and toilet facilities can be found here."
Jim_atl,"1,026",Feb 2020,February 2020,40,Interesting Museum,I spent a couple of hours exploring this museum.  You start with what was found in the ship wreck.  It was interesting to see how many items they packed on the ship and how they packed them to maximize the quantity.  The rest of the museum has interesting galleries with good explanations of the objects.  If you are interested in Asian history this is a good museum.
Malbena,89,Feb 2020,January 2020,30,Ceramics are not my thing,"I went to the Tang Shipwreck with high expectations, unfortunately I was disappointed. The exhibition consists almost entirely of pottery. There was no remnants of the boat itself. In other similar museum exhibits e.g. Mary Rose in Portsmouth, the highlights have been the everyday items of the crew. None of these items were recovered with this shipwreck, probably because the crew lived on the deck."
gursartaj,53,Feb 2020,November 2019,50,An amazing historical museum,"I have always been fascinated by such museums, and this did not disappoint at all. Tracking the history of all of Asia down centuries with artefacts, I felt I was part of the centuries long evolution. <br/>Must visit and budget 2-3 hours.<br/>The museum staff were very kind to tell me that I was visiting an hour before museum closing but i didnt have a choice."
normakk,291,Feb 2020,February 2020,50,Ink &amp; historical exhibition ,Excellent variety of ethnic historical items to showcase the diversity of Singapore.  <br/><br/>The Ink exhibition was a wonderful bonus with a beautiful display of a variety of traditional and contemporary paintings.<br/><br/>The friendly coffee shop offers welcome refreshments and there is also a restaurant and gift shop.
robynloswald,5,Jan 2020,January 2020,50,Fabulous specialised exhibitions,Whenever I am going to Singapore I always check to see if there are any new exhibitions at this museum. I have seen several very interesting and varied exhibitions over the last year. I am never disappointed when visiting here. The Asian anthropological exhibits and the Tang Shipwreck are also very interesting. I can spend hours here looking and the wide range of artefacts available. It is definitely worth visiting and is a very short walk from Raffles MRT Station. I have also had lunch here several times as well. This has also been a very enjoyable experience and a nice way to finish off seeing the exhibitions.
Kelsey P,41,Jan 2020,January 2020,50,Cool art/anthropology museum,"This is an interesting museum showcasing art and artifacts from all over Asia, including ceramics, furniture, and textiles. The second floor has rooms dedicated to religious items from Buddhism, Christianity and Islam. It is well organized with all the signage in English. It's the perfect size, and while we were there we got to do some fun arts and crafts. Recommended if you're looking for an interesting way to spend a morning."
ksthompson,23,Jan 2020,January 2020,50,You MUST see the Tang Shipwreck,"This museum has many wonderful things, but the cargo of the 1,000-year-old Tang Shipwreck found in 1998 exhibited on the main floor is truly amazing. It is one of the best things in all of Singapore."
nota1timetraveller,324,Jan 2020,November 2019,50,A fantastic Museum,This is an interesting museum. Not only do you find Buddhist or Hindi artifacts but everything related to Asia and South East Asia. The big exhibition with the findings of an old merchant ship off the coast of Indonesia is beautiful. <br/>This is a MUST go when in Singapore
David Coleman,21,Jan 2020,January 2020,30,Asian Civilisations Museum Jan 2020,Visited this Jan 2020. Small museum with some very good artefacts especially the horde of 9th Century ceramics found on a sunken ship in late 1990's. Has a pleasant cafe although on our visit service was rather slow
shinf2016,68,Jan 2020,January 2020,50,Worth Visiting ,"We came here on 2 January.  We were not sure if the museum was open or not.  But open!  First we entered the wrecked ship part.  It was really interesting to know the sea lane to link the east and west even hundreds of years ago.  At he same time we could get chances to know Asian civilization.  Though this may not be regarded as the spot for tourists, I believe worth visiting for tourists as well.  In addition we got kind guidance from a volunteer although she was off officially.  It was really kind of her."
Gillian L,161,Jan 2020,January 2020,50,Well laid out museum with good variety of exhibitions,We loved this museum because of our private interest in early pottery &amp; porcelain so we thought the Tang Shipwreck exhibition was superb.  The early Chinese and Japanese porcelain was also very fine.  The Hong Bowl &amp; the Famille Rose period Fish Bowl were stunning.
Lord_Dehf,211,Jan 2020,January 2020,30,I had higher expectations,"I think I had to high expectations on this museum. Don't get me wrong, it's a good museum, but it wasn't as amazing as I'd hoped. If you generally enjoy this type of museum, you should absolutely visit it. But perhaps lower your expectations a bit..."
qqtt,325,Dec 2019,May 2019,50,Excellent collections,"A very pleasant and sunny, bright museum, with BEAUTIFUL collections to get acquainted with the history of the asian civilisations. We spend three hours here and were really enchanted."
NYKGMGTGSG,154,Dec 2019,November 2019,50,Another amazing museum in Singapore!,"I've noticed that the museums in Singapore are housed in historical staid colonial style government buildings that provide utter surprise when you visit. The National Gallery, National Museum and the Asian Civilisations Museum, we visited on three afternoons and each one provided us with wonderful exposure to cultural and historical treasures. Though we had a scant 1.5 hours at the ACM, we spent time visiting the Shipwreck which was on display in NYC several years ago. Here we saw the full exhibit and I would easily go back to just spend more time in these galleries. The heart and the soul of the museum is the Works of Ink, a private collection that is among the best collections in the world, maybe outside of China."
JPNoosa,123,Dec 2019,November 2019,50,Well worth the visit,Lots to see without being overwhelmed. The galleries were well designed and displayed. We learnt a lot and were really impressed with the collections.
Jin G,55,Dec 2019,December 2019,50,Informative and interesting collection,An interesting and surprisingly large collection of artifacts. The temporary exhibition on Chinese ink painting and calligraphy showcases the works of great painters and calligraphers.
Stephen U,82,Dec 2019,December 2019,50,"The ""must see"" museum","This is what you could call a “proper” museum: full of fascinating objects, arranged to tell stories, intelligently displayed in context and properly captioned and designed to illuminate and educate rather than “entertain;” though, by illuminating and educating, it also entertains.  One could tag on to a free guided tour or just go where the flow takes one.  Subjects covered included the development of religions in the area and the history of Singapore and surrounding area in the time before Raffles turned up.<br/><br/>The artefacts from the Tang Dynasty shipwreck were impressive by their numbers and quality.  The shipwreck was not exactly in Singapore’s waters but showed the extent of the trade that came through the area back in the day.  The Scholars gallery, devoted to the Chinese ideal of “the Scholar” showed items of exquisite quality.  We visited at the time of the “Living with Ink” exhibition which displayed a superb collection of Chinese scripts and paintings.<br/><br/>We spent an afternoon there and should have found time for a return visit, but didn’t.  Next time."
Gail R,9,Dec 2019,December 2019,50,Time well spent here!,A fascinating and huge place. A whole day here would not be wasted.  The permanent collections and temporary exhibits are well presented and accompanied by explanatory maps and texts making the whole experience more meaningful.  Pictures are allowed.
sbp0713,138,Dec 2019,November 2019,50,One of the great Asian museums in the world,They a have an abnormally comprehensive display that is well lit and designed.  There are also great restaurant choices.
Maartje,7,Nov 2019,November 2019,50,Very interesting,"I walked past this place on my way to Marina Bay and got curious. I was not disappointed! The shipwreck exhibition is fascinating, as is the one of ink paintings. I also enjoyed the history of religion in Singapore and the trade in Singapore. There was a free guided tour with a museum volunteer, who was just so delightfully, endearingly enthusiastic about everything. Really great visit, would wholeheartedly recommend."
cricri97,141,Nov 2019,November 2019,50,Impressive,"I have seen plenty of museums over the world, but this is among the most interesting and best kept I have visited. The collection of pieces from the region in impressive. I particularly enjoyed the collection of pieces recovered in 1998 from the Tang shipwreck.<br/>Highly recommended."
AlabamaAnne,217,Nov 2019,November 2019,40,Many dishes,"We spent our last morning here, before departing Singapore. The building itself is gorgeous from the outside. The artifacts from the Tang ship were interesting, but so many dishes!"
blairkk25,"1,978",Nov 2019,October 2019,50,Fantastic Museum,"I visited the Asian Civilisations Museum in October 2019.  I paid a reduced ticket price of $4 SGD.  There is a lot to see in this museum.  Porcelain from the Tang Dynasty, artifacts from shipwrecks, paintings of China (Xiamen, Macau, Guangzhou, Shanghai Bund, Hong Kong), Asian furniture, statues, buddhas.  There are also sections on Islamic Art, Chinese Art, art from Indonesia and the Philippines, Malaysian Art, India and many others.  The museum is overwhelming if you want to study everything.  There is also a gift shop."
Hilary M,170,Nov 2019,October 2019,50,Wonderful,I have a great interest in Buddhism and this museum has a wonderful collection. Well worth a visit. There are also exhibits on other religions that are present in Singapore and information about how they were originally transmitted. It is a very cool and peaceful place to while away a couple of hours and there is a nice restaurant next door. I walked there along the river from my hotel.
Manoj S,3,Nov 2019,December 2018,50,visit on holiday,its very nice specially the garden outside. The museum has singapore history and very antique items. One must visit if he wants to know how singapore developed.
delaz,3,Nov 2019,November 2019,50,Very well managed museum,"Visited this place with 2 kids on stroller, it was pleasant as family group visit.<br/>For foreigners, need to pay SGD8 for 1 adult tickets. Museum was open on weekends too. Pretty good collection they have especially the Tang Shipwreck collection.<br/>Outside the museum is a small park and a river crossing. Kids can play around it too. Saw families on bikes too. Just a walking distance from this museum,around 5 minutes, you can get to Merlion Statue. convinient!"
Francisd,2,Nov 2019,June 2019,40,Museum will impress you.,Wonderful place to know the history of Asia and its Civilisations. I and my spouse really enjoyed it.  But did not have the time to go every bit of the place.  Will visit again to catch up. Enjoy everyone.
Rach979,"1,000",Nov 2019,October 2019,50,Interesting place ,"This museum was fascinating, especially the masks and weapons on the second floor, I really enjoyed reading the information provided alongside the interesting items.<br/>It’s cheap to enter and you could easily spend a couple of hours here, highly recommended!"
Stefan G,60,Oct 2019,October 2019,50,Fabulous collection,"Spent a few hours here and not nearly enough, the collection is great as are the stories around each item. Lovely museum!"
Yeo B,2,Oct 2019,October 2019,50,Historical building . rich content.,"walking in the history of this British colonial building , let you feel the grandeur of the time.<br/>exploring Asia’s artistic heritage."
Tim J,163,Oct 2019,October 2019,40,An Excellent Collection,"This collection quickly outlines some of the key contributing factors, from the last few hundred years, that created the foundations for the Asian countries in existence today. Spanning trade, culture and religion each room tackles a fresh subject. I would have liked to have seen more of an inclusion of Singaporean pieces, as there were very few."
bluepumpkinsoup,19,Oct 2019,October 2019,50,A favourite museum,Usually pay a visit on each trip since 2011.  Well set out.  Makes you want to visit more of SouthEast Asia when you see the artefacts. Excellent Cambodia Angkor Wat exhibition last year. Pity they removed the charming little video talks on the walls of rooms.  Tap to wake the speaker!
Steve S,"1,412",Oct 2019,February 2019,50,A beautiful way to see a cross section of spectacular Asian art,Easily accessible and reasonably priced with an extensive collection of a spectacular cross section of Asian artwork. A quiet space that is really well organized with lots of informative brochures. A fun place to wander and learn about centuries of amazing artwork.
