username,num_posts,date_posted,date_experienced,rating,review_title,review_text
,,,,,,
Travelswithboxers,69,22-Feb,Feb-20,50,"Take the guided tour, take most of the day","A super museum. Last time we went, we took a guided tour of the DBS gallery which was terrific. This time we didn't and felt a little worse of for it, but it must be said that all the staff in the rooms who we thought were ""security"" are very knowledgeable and worth engaging with.<br/><br/>This time the gallery hosted the Bienalle exhibits - a bit to avant garde for our taste, but interesting to see.<br/><br/>There is a lot to see, a couple of hours won't do it justice. A special mention to the painting called something like ""language class"" which when explained has a very powerful story behind it."
,,,,,,
Ginnyleeinwonderland,353,20-Feb,Jan-20,50,History and art,"I love it. Staff was very polite and helpful, even if there were some old staff trying their best to show the guests where to go and what to see. The building itself was a work of art with the unique design inside and other decorations. I really like the paintings. I didn't even need to go to the museum to learn about the history of Singapore, it was right there, inside each paintings which carried with them different cultures and traditions from different ethnic in Singapore. The color using was marvelous. The same material can create matted color or shinny oil color. The photographer's zone was very interesting, too. It show old life of Singapore before it was so great like that. It was history inside every piece of art."
,,,,,,
Tony B,158,19-Feb,Feb-20,30,Interesting...!,"This gallery is almost exclusively for Eastern and Asian art, so great if that is your interest.  It is in a huge building, with, seemingly, more space than art.  Having said that, it was very relaxing to wander around this beautiful building and the peaceful lack of noise."
,,,,,,
wil r,79,15-Feb,Jan-20,50,The Vwnuw!,The old City Hall and Supreme Court buildings [and their restoration are stone worth the visit and admission cost.
,,,,,,
Jim_atl,"1,033",7-Feb,Feb-20,50,Take the Free Tour,"I went to this museum and was lucky to take the free one hour tour that started at 11 am.  The tour told us about the two buildings that were used to make this museum.  We learned about what the buildings were used for before they were converted to a museum and what was done to turn them into the museum.  Our guide was very knowledgeable and took us to places I likely would not have seen.  After the tour I looked at some of the art, which was interesting.  To me, the highlight was the tour."
,,,,,,
III76,157,2-Feb,Mar-19,50,great for kids and adults alike,very vast museum gallery with interesting exhibits. the kids experience are is wonderful. highly recommended.
,,,,,,
CAROLINE W,41,2-Feb,Feb-20,20,Too spread out - and thinly,"As with a lot of stuff in Singapore, you end up walking loads - between 2 buildings and 5 floors. However art is so thinly spread out, it really is very sparse when looked at. <br/>Very disappointed and not worth the fee for foreigners when you see what else is around."
,,,,,,
Scielbi,"1,060",Jan-20,Jan-20,30,Visit,"We were disappointed.  The art, mostly southeast Asian art, was fair at best, in our opinion.  We're obviously spoiled by the art museums in Europe &amp; the US. The Singapore museum about the history on the other hand is definitely worth a visit."
,,,,,,
Clare B,53,Jan-20,Jan-20,50,Amazing,"Brilliant building,  really helpful staff,  wonderful art and a great roof top bar.  Go early to avoid the crowds.  I loved it"
,,,,,,
Ruben R Mizrahi,"1,717",Jan-20,Apr-19,50,Icon,This place is like the Louvre of Southeast Asia or even of the whole Asia.<br/>The staff is amazing. Most of them are very chatty and like to give you additional information if you have. <br/>Architecture is amazing.
,,,,,,
AndrewYew,"4,190",Jan-20,Jan-20,20,"Colossal void, air-conditioned","If I were visiting another country, I would not spend time at such a place unless my stay is more than a month. It is a very pleasant place if you need to rest your legs and enjoy the cool and free air-con. So far this is the only art gallery/museum that has left me generally unimpressed. Perhaps better works were not showcased. So my advice is not to pay the hefty entrance fees until better art is displayed in the future. The Visitor Officers were just waiting for me to step across the line so that they can reprimand me in less than a second. I received a more hostile reception than my 6 year old son when he crossed the line to have a closer look at Mona Lisa in the Louvre. This also happened once when I was just reading a plastic plaque whose fonts were too small for my old eyes. Anyway this is the most excellent reflection of the Singapore culture. Just walk around the place and admire the architecture. A better place to see the real Singapore would be the building behind called Funan."
,,,,,,
Mgn12,35,Jan-20,Jan-20,40,Stunning architecture,"The building - actually two buildings combined, the former City Hall and the former Law Courts - has been tastefully transformed into a vast series of galleries.  I went to a multi media presentation on the history of Singapore and thought it excellent.  I also visited two other galleries, one a photographic exhibition. I found navigating the building just a little confusing and thought the content could do with a bit more enlivening."
,,,,,,
GregB052148,634,Jan-20,Dec-19,50,Nice to walk the open areas,You can walk through a large portion of the Gallery without paying to see the actual art exhibits. Part of the beauty is the building itself and how it was restored.
,,,,,,
Daisy Deh-I s,16,Jan-20,Dec-19,40,Excellent guided tour,"First of all the architecture of the the gallery was stunning.  You have to stand in the center of the building when the light shines through the tall windows that are between the two buildings.  I have toured the museum three times since it was first opened a few years ago, and this third visit we had a most memorable guide, Shia Ailee.<br/> We peppered her with questions, she was very knowlegeable and told me many things that I had not learned from my two previous tours."
,,,,,,
TravelDreams,250,Jan-20,Jan-20,50,so many levels of enjoyment,"I honestly came here after seeing good reviews from Trip Advisor, but I knew little about what I was about to see.  First, I felt like royalty during my visit, every staff member I encountered was kind and informative.  Second, since I knew nothing of the history of the building, I was so surprised by it, and I really enjoyed taking the audio tour on my phone to learn more about this.  <br/>As far as the art goes, I must admit I know very little about Asian art and I found many interesting galleries in this collection.  I did see the Biennale exhibits and found them enjoyable, especially the interactive ones, though the numerous little short films were exhausting and not many of value.  <br/>Don't worry if you don't have any knowledge about what you are about to see, just go with an open mind.  <br/>I guess my only complaint is that the app was difficult to follow for descriptions of the paintings, this could be improved with a number system."
,,,,,,
MargieDee,115,Jan-20,Jan-20,50,Wonderful!,A wonderfully restored grand building housing many fine arts and exhibitions. It wasn’t too busy on the day we went so no queues or wait times. Two  Different buildings within and several levels with some having mezzanine floors made it confusing for me but not for my fellow travellers!! Have fun tracking down some attractions in the map !! <br/>Another good days outing and finished with a fantastic drink on the top level !
,,,,,,
PeterMarty,171,Jan-20,Dec-19,50,Excellent facility,Wife and i enjoyed amix of art and photography here with a couple of special exhibitions taking place.
,,,,,,
Relax597254,878,Dec-19,Dec-19,40,A place steeped in history,"A building made up of two adjacent historical buildings in Singapore’s history - City Hall and former Supreme Court. <br/><br/>A big field (Padang) outside to roam around and take in the sights of MBS and skyscrapers in downtown Singapore. <br/><br/>Close proximity to shopping malls as well. <br/><br/>Do check out the website for exhibitions on offer. <br/><br/>Visited the Gallery for City Hall: If Walls Could Talk, put together for Singapore Bicentennial 2019. It was a 10-minute video of Singapore’s history."
,,,,,,
geraldchan,"3,017",Dec-19,Dec-19,50,Cool place,"The National art gallery not only houses some interesting and cool art, but it also boasts a number of popular restaurants and bars. Worth an afternoon."
,,,,,,
NYKGMGTGSG,156,Dec-19,Nov-19,50,Plan a special visit to the National Gallery,"I was surprised to learn so much of the history of Singapore, to appreciate the rich cultures of its people and to better understand the country. I really enjoyed learning about Singapore's past and the interactive and educational presentation. Being present in the historical setting makes you appreciate all that Singapore has gone through in the last century. If I could have planned better, we would have spent the whole afternoon here."
,,,,,,
reviveramesh,14,Dec-19,Dec-19,50,A splendid collection of Singapore art across several decades,"One shot you can see the various artworks and know plenty about the artists of Singapore. The three galleries are well arranged,chronologically and quite spacious and not so crowded during afternoons. It is a very good art history lesson. One visit and you can know about several aspects of Singapore and the famous Nanyang artists and admire the works and peek at the art talent in Singapore. And within the same ticket you may even catch a few side-shows. I was fortunate to see the photography work of Soo Bin ( truths and legends) and lim cheng hoe (painting singapore) oh of which were fantastic and thought provoking."
,,,,,,
Liu,1,Dec-19,Nov-19,50,Learning journey to National Gallery,This is such a splendid place. Oh my god. The first thing that comes in to my mind is its unique dome design. On top of that is an extensive collaction of masterpieces from diverse countries in asia.<br/>You are gonna love it man
,,,,,,
Yiyang S,2,Nov-19,Nov-19,40,Good place to spend a meaningful day,"We visited the gallery in the afternoon from about 1:00pm to 3:30pm.<br/><br/>The gallery is in the south of Singapore near the Downtown Core area.It consists of two main buildings—the Singapore Supreme Court wing and the City Hall wing, each having 5 storeys.The galleries and exhibitions are in the upper three storeys.<br/><br/>The countless artworks are all unique and some of them are very interesting.You can learn a lot about the history of Southeast Asian countries in some galleries,while in others,you may find some obscure modern artworks.There are also areas for you to stamp seals on paper and take it home as souvenirs.There are specially designed children’s area so the young can also have fun.<br/><br/>It is a big blunder that my two other friends and I spent all our time in the Supreme Court wing,which made us miss all the interesting things in the City Hall wing.So if you are visiting the gallery and have limited time,please make sure you plan your time well and try to cover different areas,especially if it is your first visit.This will help you have a whole picture of the gallery.Another tip is that since it might take hours to visit it and the air conditioning is pretty powerful,it might be a good idea to to wear long trousers and bring a jacket."
,,,,,,
wang yifei,7,Nov-19,Nov-19,40,"a thought provoking, mind, broadening, experience","located in the downtown core of Singapore, the National Gallery of Singapore consists of 2 national monuments, the former Supreme court building in city hall and over 8000 artworks.  consisting of modern and contemporary art National  gallery of single poor focuses on displaying Singapore and Southeast Asian art from the 19th century to the present day<br/>as you walk in to the majestic building from the chaotic outside streets, a peaceful sensation will engulf you due to the quietness of the surroundings.  the artworks form a complete timeline from third floor to 5th floor from the past to the present.  the hidden meaning,the molancholy, depicted in various forms of artworks join together to create a world of a unique blend of the depressing present in 10 tantalizing future. <br/>for those who are interested in art and Southeast Asian, Singapore and history, the National Gallery can't be missed.  you will find yourself at the heart of Aladdin's'cave.  for those with children, there's a special exhibit for youngsters., to build their sense of appreciation for beauty.  also, it's quite cold in the gallery, so don't forget to put on an extra jacket!"
,,,,,,
Olenyeva,1,Nov-19,Nov-19,20,I don't know what to say.,"This is definitely not what i have expected. In my opinion, the building looks great, and if you ever get to the top floor, the sight is spectacular. However, the artworks are not that interesting. A few caught my eye, but none are truly interesting to look into. The whole place is too big that we spent half the time trying to navigate through the buildings. The staff are nice and gave us a map, but it didn't help much. The artworks arrangement also seemed confusing. Some are arranged by date and region, but some are completely irrelevant. I myself am not interested in art, however, the gallery didn't even live up to my expectations. if you are a foreign tourist, I would recommend going to other landmarks and attractions, like Little India, Marina Bay, Botanic Garden,etc."
,,,,,,
Ahxyn,1,Nov-19,Nov-19,50,A Worthy Visit to the National Gallery,"Visiting National Gallery located in the Central Area of Singapore is one of our learning journeys for English Bridging  Course which is intended for international new scholars. We had our trip there yesterday for about 3 hours so as to learn more about cultures in Singapore as well as Southeast Asia.<br/><br/>The building used to be the Supreme Court and City Hall. When we arrived there, I was enthralled by its colossal structure with British architecture style. These two buildings are integrated through link bridges and a new basement level. Likewise, the foyer, which was what we first stepped in, was spacious and magnificent with many beautiful decorations on the walls and ceilings.The delicate internal designs of the galleries overwhelmed me: patterned pillars, intricate chandeliers and old-fashioned arches. As for exhibits, they are divided into different galleries based on their themes and time ranges. There are a wide variety of exhibitions such as 'Siapa Nama Kamu?' (which means 'What's Your Name?'). I could feel the various ideologies of people from different times in different exhibitions.<br/><br/>Different artwork expressed different wishes of people. For example, some of the artworks are so abstract that we could not understand the meaning behind them. However, actually the artists just used different materials or elements to imply their thoughts. When I understood the true meanings of the artworks, I felt very surprised and impressed by the artists' abilities in conveying messages. Some artworks look very mysterious yet represent the artists, longing for peace and unity between the different racial groups.<br/><br/>Since the temperature there is quite low, you may need to bring jackets or sweaters in case it is too cold for you. Secondly, food and beverages are not allowed into the galleries. You can put your items like bags in the lockers only with deposit of $1 per locker. Furthermore, visitors are to keep quiet in the galleries so that other visitors will not be disturbed. Most importantly, there are black lines on the floor in front of every artwork that visitors must not go beyond. I hope you would enjoy your experience in the galleries like I did!"
,,,,,,
Gong Yiqian,11,Nov-19,Nov-19,40,My Valuable Visit to the National Gallery,"We went on our learning journey to the National Gallery this afternoon. We didn’t need to buy tickets because we were students.<br/>     The National Gallery consists of two historic structures ——the City Hall and the Former Supreme Court. The gallery mainly showcased Singaporean and Southeast Asian Art. It has five floors. Each floor has different kinds of art,such as ink painting, landscape and performance art. They showed the history of Southeast Asian economy and politics.<br/>      The gallery divided into different themes and factions. You can find the art that you appreciate and favor.<br/>      Children can create their own paintings on the second floor where provided painting rooms for children.<br/>      Before you leave the gallery, you can paint a postcard by yourself at the entrance of the gallery with pigments offered.<br/>      For I, it is worth visiting the National Gallery because  this visit has enriched my knowledge about history and cultivated my taste in art.<br/>      Don’t forget to take your coats away because it’s cold there."
,,,,,,
Maya,4,Nov-19,Nov-19,50,"Take ""Time Machine""in Singapore national gallery","I went to the Singapore National Gallery with my friends. When I first saw it. I was astounded. The structure of it which combines the advantages of Chinese and Western architecture was totally marvellous and it  even can compare to Buckingham Palace. When I walked inside,thousands of delicate artworks caught my eyes at once. <br/><br/>There are 5 floors in the gallery. Although all of them were great, but I'm still strongly recommend the third floor. Artworks there are mainly about South-east Asian history. Through these oil paintings ,it is as if you are taking a time machine and seeing the stories happen in the past. <br/><br/>The National gallery is really worth a visit. You not only can learn about Asian painting styles,but also learn about the local history. <br/><br/>Remember to wear a jacket if you come here. The air conditioning is super strong."
,,,,,,
