username,num_posts,date_posted,date_experienced,rating,review_title,review_text
,,,,,,
Ляля Б,3,22-Feb,Feb-20,10,Very bad staff,"Very rude, principled staff at the box office, I arrived at 6 o’clock, the woman told me that the cash desk was closed at 6 o’clock and refused to sell me a ticket !!!"
,,,,,,
31sherriw,75,20-Feb,Dec-19,50,What an amazing surprise!,You need a good day to discover this fascinating history of Singapore.  I learned so much about its short history.
,,,,,,
Customz,105,18-Feb,Jun-19,50,Great experience...,"The National Museum of Singapore is a MUST, even for those that might find museums boring. This building is full of exhibits and history that one has to be immersed. It was indeed a great experience."
,,,,,,
Della G,692,16-Feb,Nov-19,50,National Museum of Singapore,"A beautiful museum experience.  National Museum of Singapore is housed in a formidable, elegant neo classical building with the establishment of the museum dating back to 1887.  The displays are extraordinary and well displayed.  It appeals to anyone who likes history and definitely gives visitors a detailed outline of this unique island country.  Interesting informative diorama visuals and hands on exhibits that are suitable for youngsters and accompanying family alike.  The second floor houses  different galleries that focus on special themes as fashion, food, progress within the island community,  photography etc.  Each area takes time to explore. The most impressive display was the Story of the Forest which is a fascinating digital experience.  It is a colorful, lively and fanciful digital display that leaves a pleasant memorable images in your mind.  The museum is not free and the admission is more than a nominal fee but it is truly a first rated museum in Singapore."
,,,,,,
wil r,79,15-Feb,Jan-20,40,Building complex a historical treasure,Building is a must see.  Exhibits seemed disjointed / fragmented.   Try to sort though exhibits you really want to see before visit.
,,,,,,
Mal W,14,11-Feb,May-19,50,Not just a Museum,"Usually museums can be boring but not the National Museum in Singapore there is so much history plus special displays you can immerse yourself in, especially the living dome see it for yourself so hard to describe the experience"
,,,,,,
JDH,9,11-Feb,Feb-20,40,Very informative,"Great museum. New exhibit on the history of the spice trade and development of Singapore was very interesting, with loads of information"
,,,,,,
Ingeborg56,"1,953",10-Feb,Feb-20,50,Very impressive museum on many floors.,"The cashier was very good in informing us about the different ticket types, - we chose to combo ticket which covered the whole museum. The exhibitions are very well presented, - also included huge wall to wall film - and very interesting about the history of Singapore and also the emphasis on women's education etc. Learned a lot from this visit!"
,,,,,,
ddilling30,71,10-Feb,Feb-20,50,"Outstanding, world class museum!","Without doubt, this is a brilliant, world class museum and a MUST for all visitors.<br/>We took the combined ticket(reduced rate for Seniors) and spent 4 hours on the special exhibition and the History Gallery only.<br/>It id possible to return another day on the same ticket. Ask and you will be issued with a new sticker.<br/>The museum is housed in a beautifully maintained colonial style building and is very well laid out, so the story flows. Helpful interpretation panels are not too wordy. The language is accessible and the text the right length.<br/>The cafe has a nice selection of reasonably priced light meals, snacks and drinks.<br/>Altogether an excellent museum!"
,,,,,,
paul_pru_skittles,404,9-Feb,Sep-19,40,good restaurants for meeting friends,often eat here when meeting friends/ex-colleagues who are visiting SG from malaysia. a range of selections to choose from with most priced in the mid-range
,,,,,,
Jim_atl,"1,033",7-Feb,Feb-20,50,Take the Free Tour,"I was lucky to arrive a little before 11 am and was told that a one hour tour was about to start.  There were only a few of us on the tour.  The tour guide was very interesting and took us around the two important old building.  She showed us things I would likely not have seen and learned about the history of the buildings and and saw pictures of the way they used to look when they were the city hall and the supreme court.  I then spent time looking at some of the art, which was interesting to see art of Asia and understand the way things used to be.  To me that highlight was the tour and the two old buildings (and the way they were combined and updated to be a museum)."
,,,,,,
Leslie H,13,4-Feb,Jan-20,50,A must visit,"The whole experience of the musium was fantastic, the exhibitions and amount of things to see are truely amaising. We must also recomend that any one who visits the Museum to take advantage of the internal restaurant there. The friendy and most atentive staff will make your visit a pleasurable one. I can personaly recomend the home made Lemon Iced tea with wine, a delisiously refreshing drink. My wife nicknamed it alchoholic Ribeena because of the colour after you stired the wine into the Icedtea. I would go back there again just for another one."
,,,,,,
Koloblicin,268,4-Feb,Dec-19,50,Central location ,Join the free guided tour in national museum if you have time. A great place to know singapore's history in the beautiful architecture
,,,,,,
Fred T,729,3-Feb,Feb-20,30,"Best if you can join a free tour; otherwise, just OK","I lucked out and entered just before the free 2 PM tour was to start.  That tour hit the highlights of the museum in 1.5 hours (was supposed to be 1.0 hours).  After that tour, I did the rest of the exhibits.  I was expecting more, so was disappointed.  I paid $19."
,,,,,,
jglove44,4,Jan-20,Jan-20,40,Great exhibitions,"This museum is a treasure! Fantastic exhibitions showing the history of Singapore, from the early settlers, to Colonial Settlement, to Japanese occupation all the way to today. Got the ‘access all areas’ pass which allows you to see the limited edition exhibition as well as the permanent exhibitions - it was worth it. Ended up spending nearly 7 hours here, it is that good. Highly recommend it."
,,,,,,
Janja,146,Jan-20,Jan-20,50,Good choice on a rainy day,"The museum demonstrates the history and cultural identity of the country. I would recommend you to take the ticket with special exhibitions included ($26), as they have some amazing animated and interactive presentations."
,,,,,,
ksthompson,23,Jan-20,Jan-20,40,Good history lesson,"We got there for a free 1-hour tour in English in the early afternoon, and the guide was quite good."
,,,,,,
alpatdunc,113,Jan-20,Jan-20,40,Great exhibitions,"This is the place to go for all your early Singapore history.  I absolutely loved learning about the early explorers and how Singapore went from the 1800s onwards.  If you love learning about the history, this will be the place to go.  They also have a great little café and shop."
,,,,,,
Anthony P,9,Jan-20,Jan-20,50,Guided tour,Five Stars.  Very informative and worth while.  Cost reasonable and the information and learning opportunity was timely and valuable.
,,,,,,
Wongaburra,100,Jan-20,Jul-19,50,Informative and enjoyable,Always on the lookout for the history of where we were visiting the National Museum of Singapore was a must. We had booked a guided tour which was well worth the cost as the guide was informative and knowledgeable. Well worth the visit.
,,,,,,
