username,num_posts,date_posted,date_experienced,rating,review_title,review_text
fiz S,71,5 Mar,March 2020,50,Perr-Aaa-Nak-Kan - A must to visit,A must to drop in. RM20 per person regardless local or non-local. But for RM20 it is definitely worth it. <br/><br/>Very intricate design of both the structure of the mansion and all its hidden gem. Will take you back to the 18th Century thru its precious antiques and historical photos. There are various elements of fusion between east meets west embedded in design of furnitures etc.<br/><br/>Time spent: 30 minutes up to 1 hour +<br/>Pay a little bit more attention on the details and you can see some hidden symbolism. <br/><br/>A must to drop in
Lynette M,7,Oct 2019,November 2018,40,"Explores the beliefs, culture and traditions of this important group in Singapore.","The museum explains the origin of the Peranakan culture. It was thoughtfully arranged with period exhibits and explored the groups beliefs, traditions and lifestyle. I found it very informative and well worth visiting."
ContinentsExplorer,816,Oct 2019,September 2019,40,Walking Tour in the heart of financial (central) district,Interesting walking trail to discover the Peranakan and different Chinese cultures and heritage. Museum is tacked away in the heart of the financial district. Artistic pieces (original) and option of replica design. Very limited street parking.
CHIDUWIN TV,627,Aug 2019,January 2019,30,Malaysian Museum,"Malaysian cultural museum. The museum has a huge collection of dresses and utensils and pictures, which poteays the detailed life of Malaysian Culture."
EmO,14,Aug 2019,August 2019,30,Beautiful but not for young children.,"Beautifully laid out and well maintained stately house. A lot to be learnt about the culture and heritage of the area. I think you could spend a long time here but with young children  it was hard and very hot inside, due to layout. <br/>It's reasonably priced though and the staff are helpful and friendly."
phi12017,102,May 2019,April 2019,40,Takes you back to a time long past -- a visual image of cultural intermingling of Chinese and Malays,"The term ""Peranakan"" is used in Indonesia, Malaysia and Singapore to refer to persons born in these countries of mixed local and foreign ancestry. “Foreign” could be  Arab, Chinese, Dutch, Indian, etc. Thus, the museum deals with artifacts and events associated with some form of foreign ancestry, in one way or another.<br/><br/>Because this museum was then  going to be closed very soon for rennovations,  I joined a group of six people visiting the museum in early April. The exhibits  revealed to me at least,  in a sparing way how some of the immigrant Chinese embraced and in a sense made their own, some of the practices of the indigenous Malays. They were also pictures of some former British colonial officers. <br/><br/>What emerged from the collection of exhibits is a revealing history of the not too distant past and the coming close to each other, or, even of the intermingling of some Asian cultures,  laced with European or British influences, on the fringes.  A visit to this museum is worth every minute spent to behold the varied collections of events, individuals, objects, etc.<br/><br/>All the pictures  are of exhibits on display in the museum and the copyright is with the Peranakan Museum or the actual owners of the exhibits, if  indeed they are on loan to the Museum."
JaR1983,204,Apr 2019,February 2019,50,A fascinating cultural experience,Ignorantly we knew nothing about the Peranakan culture but this museum was so interesting and gave superb examples of people's lives. Particularly liked the photographs. We followed the experience with a meal in a Peranakan restaurant. A superb day!
Mum0fTwo,106,Apr 2019,March 2019,50,Worth the visit,5 minutes walk from Bras Basah MRT station. Lots of interesting exhibits. Beautiful costumes and traditional garments on display. You can even dress up and take pictures. My 8 year old son learnt a lot about the Peranakan culture. Friendly and helpful staff. Toilets were very clean too. Glad I took my family here.
DW@Ballarat,"1,116",Apr 2019,March 2019,50,Excellent cultural heritage museum - pity its just closed for renovations,"This fascinating and well presented museum spread over three floors explains the heritage of Singapore with a mix of visual art, old furnishings, costumes, photographs and mocked up rooms. When it reopens take the opportunity to join a one hour guided tour of the museum as this will  add to your enjoyment of the museum."
mxgiosisca,37,Mar 2019,March 2019,40,Closing down for revamp from 2019,"Was my 2nd visit, and it was an enjoyable, peaceful time. Glad to hear they're not closing down for good, as they will be revamping content until 2021. The displays were well curated, and easy to follow. I hope they continue to preserve the Peranakan heritage here on out."
