username,num_posts,date_posted,date_experienced,rating,review_title,review_text
,,,,,,
Shamim Ahsan Chowdhury,49,12-Feb,Jan-20,50,Future Singapore at your door,For kids even elders the Future singapore of 2219 is just beyond imagination . <br/>You.could.find the areas.which has considered a drone free in 2200 year .<br/>The window vegetable cultivation and harvesting system is wonderful .<br/>Toy will.find how technology will be mixed.with your life and technology will ease.your life .<br/><br/>The free movie show is always interesting for a family .
,,,,,,
Megan McDonald,5,Sep-19,Sep-19,50,Nice place !,"If you're a lover of the arts, you'll like that they hold exhibitions with different themes and feature different artists quite regularly. Nice museum with many concurrently running exhibitions.<br/>Many are kids family friendly on the ground floor and more grown ups one on the upper floor."
,,,,,,
Traveling H,63,Aug-19,Jul-19,50,Excellent Museum. Worth a visit!,Really good and interesting museum. It explains more about the history of Singapore but in an interactive way. All the digital experience is amazing! I loved the cinema! <br/><br/>The building is nice and their staff is friendly. <br/><br/>If visiting Singapore is definitely worth to visit.
,,,,,,
Rosierainbows,24,Jun-19,Oct-18,50,A must see!,This is such a graceful building that has been tastefully restored to house a wonderful vollection of general and cultural.<br/>This building was once the Singapore seat of rule and law and its historic past can be imagined on the lawns at the front.<br/>If you like a gallery...you'll love a visit here. I spent a day wandering through both buildings and had a very restful time soaking up the art.  Take a break with tea and tea and finnish off with a cocktails in the upper bar and breathe in the view before you.
,,,,,,
Hans V,890,Mar-19,Mar-19,10,"Not Open, No alternative location, Singapore is more into Working, Shopping ","Not Open, No alternative location, Singapore is more into Working, Shopping,<br/><br/>Culture Nature and Heritage (exception is when related to the rulers since 1965) is not displayed on a secondary Location yet.<br/><br/>Missed opportunity."
,,,,,,
KodoDrummer,"60,193",Jan-19,Dec-18,40,Wide-ranging collection of contemporary Southeast Asian art,"I wasn’t sure quite what to expect in contemporary art at the SAM (Singapore Art Museum). It encompasses many types of creative modern art, such as photography, painting, sculpture, video, interactive exhibits, and others produced from the mid-20th century onwards. I think it includes almost anything that people would look at and find to be artistic and made with the hope that some would find modern, distinctive, and interesting to look at. The collection is nice, but for me not amazingly beautiful. However, I’ll rate SAM as Very Good, as I did find many of the very unique creative pieces to be artistic."
,,,,,,
virtualmatt,68,Jan-19,Jan-19,20,Pretty average - but mostly closed,Visited but they are midway through a relocation it appears - and the work on display in the new site was limited in scale and quality. <br/><br/>The staff in several exhibition areas were quite invasive following you around the exhibition which it quite difficult to absorb/enjoy.
,,,,,,
Holly B,21,Dec-18,Dec-18,50,Great for young children,"We spend around 3 hours here with 2 younger children, they loved it. So interactive, even as adults we loved it. Discount given with Singapore Airlines ticket a bonus. Definitely a great morning out. The building and views are amazing."
,,,,,,
Hayata,4,Dec-18,Oct-18,40,quiet and peaceful,"I stayed nearby this place when I came to visit it. It was an excellent recomendation by the lady I met at Sentosa. I asked her which was the nearest and convenient museum to visit and she suggested this place. I am glad that she did. Because in here, I found tranquility. The infrastructure of this place gave the vibes I was looking for. It was not pricey and senior citizens gets a discount. I am happy. Unlike the musem I visited at sentosa, it was just noisy. And too overrated. I am glad I found this place."
,,,,,,
